Código de Experto   QD1 El grado al cual un componente web proporciona funcionalidad que cumple las necesidades implícitas o explícitas cuando se utiliza bajo unas condiciones especificadas puede evaluarse con la medida del tamaño del código en función del número de términos y las expresiones que definen.	QD2 El rendimiento de un componente web relativo a la cantidad de recursos consumidos bajo condiciones especificadas puede evaluarse con la medida del tamaño del código en función del número de términos y las expresiones que definen.	QD3 El grado con el que un componente web puede intercambiar información con otros y/o realizar sus funciones mientras comparte el mismo entorno hardware/software (browser) puede evaluarse con la medida del tamaño del código en función del número de términos y las expresiones que definen	QD4 El grado con el que un componente web puede ser utilizado por usuario específicos, alcanzando objetivos específicos con efectividad, eficiencia y satisfacción en el contexto especificado puede evaluarse con la medida del tamaño del código en función del número de términos y las expresiones que definen.	QD5 El grado con el que un componente web realiza funciones especificadas bajo condiciones especificadas por un tiempo especificado puede evaluarse con la medida del tamaño del código en función del número de términos y las expresiones que definen.	QD6 El grado con el que un componente web protege la información y los datos de forma que usuarios u otros sistemas cuentan con el nivel de acceso adecuado a sus tipos y niveles de autorización puede evaluarse con la medida del tamaño del código en función del número de términos y las expresiones que definen.	QD7 El grado de efectividad y eficiencia con el que un componente web puede ser modificado por los agentes de mantenimiento especificado puede evaluarse con la medida del tamaño del código en función del número de términos y las expresiones que definen.	QD8 El grado de efectividad y eficiencia con el que un producto puede ser transferido de un entorno hardware, software, de uso u otros, a un nuevo entorno puede evaluarse con la medida del tamaño del código en función del número de términos y las expresiones que definen.	QD9 El grado al cual un componente web proporciona funcionalidad que cumple las necesidades implícitas o explícitas cuando se utiliza bajo unas condiciones especificadas puede evaluarse con la medida de la estructura de los flujos de control (if, for, etc…) presentes en las funciones del componente web.	QD10 El rendimiento de un componente web relativo a la cantidad de recursos consumidos bajo condiciones especificadas puede evaluarse con la medida de la estructura de los flujos de control (if, for, etc…) presentes en las funciones del componente web.	QD11 El grado con el que un componente web puede intercambiar información con otros y/o realizar sus funciones mientras comparte el mismo entorno hardware/software (browser) puede evaluarse con la medida de la estructura de los flujos de control (if, for, etc…) presentes en las funciones del componente web.	QD12 El grado con el que un componente web puede ser utilizado por usuario específicos, alcanzando objetivos específicos con efectividad, eficiencia y satisfacción en el contexto especificado puede evaluarse con la medida de la estructura de los flujos de control (if, for, etc…) presentes en las funciones del componente web.	QD13 El grado con el que un componente web realiza funciones especificadas bajo condiciones especificadas por un tiempo especificado puede evaluarse con la medida de la estructura de los flujos de control (if, for, etc…) presentes en las funciones del componente web.	QD14 El grado con el que un componente web protege la información y los datos de forma que usuarios u otros sistemas cuentan con el nivel de acceso adecuado a sus tipos y niveles de autorización puede evaluarse con la medida de la estructura de los flujos de control (if, for, etc…) presentes en las funciones del componente web.	QD15 El grado de efectividad y eficiencia con el que un componente web puede ser modificado por los agentes de mantenimiento especificado puede evaluarse con la medida de la estructura de los flujos de control (if, for, etc…) presentes en las funciones del componente web.	QD16 El grado de efectividad y eficiencia con el que un componente web puede ser transferido de un entorno hardware, software, de uso u otros, a un nuevo entorno puede evaluarse con la medida del de la estructura de los flujos de control (if, for, etc…) presentes en las funciones del componente web.	QD17 El grado al cual un componente web proporciona funcionalidad que cumple las necesidades implícitas o explicitas cuando se utiliza bajo unas condiciones especificadas puede evaluarse con la medida del número de módulos JavaScript u otros componentes que importan el componente web.	QD18 El rendimiento de un componente web relativo a la cantidad de recursos consumidos bajo condiciones especificadas puede evaluarse con la medida del número de módulos JavaScript u otros componentes que importan el componente web.	QD19 El grado con el que un componente web puede intercambiar información con otros y/o realizar sus funciones mientras comparte el mismo entorno hardware/software (browser) puede evaluarse con la medida del número de módulos JavaScript u otros componentes que importan el componente web.	QD20 El grado con el que un componente web puede ser utilizado por usuario específicos, alcanzando objetivos específicos con efectividad, eficiencia y satisfacción en el contexto especificado puede evaluarse con la medida del número de módulos JavaScript u otros componentes que importan el componente web.	QD21 El grado con el que un componente web realiza funciones especificadas bajo condiciones especificadas por un tiempo especificado puede evaluarse con la medida del número de módulos JavaScript u otros componentes que importan el componente web.	QD22 El grado con el que un componente web protege la información y los datos de forma que usuarios u otros sistemas cuentan con el nivel de acceso adecuado a sus tipos y niveles de autorización puede evaluarse con la medida del número de módulos JavaScript u otros componentes que importan el componente web.	QD23 El grado de efectividad y eficiencia con el que un componente web puede ser modificado por los agentes de mantenimiento especificado puede evaluarse con la medida del número de módulos JavaScript u otros componentes que importan el componente web.	QD24 El grado de efectividad y eficiencia con el que un componente web puede ser transferido de un entorno hardware, software, de uso u otros, a un nuevo entorno puede evaluarse con la medida del número de módulos JavaScript u otros componentes que importan el componente web.	QD25 El rendimiento de un componente web relativo a la cantidad de recursos consumidos bajo condiciones especificadas puede evaluarse midiendo la proporción de atributos utilizados y/o visualizados por el componente que cuentan con los valores necesarios.	QD26 El grado con el que un componente web puede ser utilizado por usuario específicos, alcanzando objetivos específicos con efectividad, eficiencia y satisfacción en el contexto especificado puede evaluarse midiendo la proporción de atributos utilizados y/o visualizados por el componente que cuentan con los valores necesarios.	QD27 La precisión y completitud con la que los usuarios alcanza el objetivo especificado cuando utiliza un componente web puede evaluarse midiendo la proporción de atributos utilizados y/o visualizados por el componente que cuentan con los valores necesarios.	QD28 La relación de recursos empleados por un componente web y la precisión y completitud con la que los usuarios alcanzan el objetivo especificado puede evaluarse midiendo la proporción de atributos utilizados y/o visualizados por el componente que cuentan con los valores necesarios.	QD29 El grado de satisfacción de las necesidades del usuario cuando el componente web se utiliza en el contexto de uso especificado puede evaluarse midiendo la proporción de atributos utilizados y/o visualizados por el componente que cuentan con los valores necesarios.	QD30 El grado en el que el componente web reduce un potencial riesgo de carácter económico, humano o del medio ambiente puede evaluarse midiendo la proporción de atributos utilizados y/o visualizados por el componente que cuentan con los valores necesarios.	QD31 El grado al cual un componente web puede utilizarse con efectividad, eficiencia, satisfacción y ausencia de riesgo tanto en contexto de uso especificados, como más allá de las especificaciones iniciales puede evaluarse midiendo la proporción de atributos utilizados y/o visualizados por el componente que cuentan con los valores necesarios.	QD32 El rendimiento de un componente web relativo a la cantidad de recursos consumidos bajo condiciones especificadas puede evaluarse midiendo la demora en la ejecución o visualización del componente web en relación con el resto de contenido de la aplicación web.	QD33 El grado con el que un componente web puede ser utilizado por usuario específicos, alcanzando objetivos específicos con efectividad, eficiencia y satisfacción en el contexto especificado puede evaluarse midiendo la demora en la ejecución o visualización del componente web en relación con el resto de contenido de la aplicación web.	QD34 La precisión y completitud con la que los usuarios alcanza el objetivo especificado cuando utiliza un componente web puede evaluarse midiendo la demora en la ejecución o visualización del componente web en relación con el resto de contenido de la aplicación web.	QD35 La relación de recursos empleados por un componente web y la precisión y completitud con la que los usuarios alcanzan el objetivo especificado puede evaluarse midiendo la demora en la ejecución o visualización del componente web en relación con el resto de contenido de la aplicación web.	QD36 El grado de satisfacción de las necesidades del usuario cuando el componente web se utiliza en el contexto de uso especificado puede evaluarse midiendo la demora en la ejecución o visualización del componente web en relación con el resto de contenido de la aplicación web.	QD37 El grado en el que el componente web reduce un potencial riesgo de carácter económico, humano o del medio ambiente puede evaluarse midiendo la demora en la ejecución o visualización del componente web en relación con el resto de contenido de la aplicación web.	QD38 El grado al cual un componente web puede utilizarse con efectividad, eficiencia, satisfacción y ausencia de riesgo tanto en contexto de uso especificados, como más allá de las especificaciones iniciales puede evaluarse midiendo la demora en la ejecución o visualización del componente web en relación con el resto de contenido de la aplicación web.	QD39 El rendimiento de un componente web relativo a la cantidad de recursos consumidos bajo condiciones especificadas puede evaluarse midiendo el tiempo total demora en la actualización de los datos en el backend y su propagación entre todas réplicas que sirven el componente.	QD40 El grado con el que un componente web puede ser utilizado por usuario específicos, alcanzando objetivos específicos con efectividad, eficiencia y satisfacción en el contexto especificado puede evaluarse midiendo el tiempo total demora en la actualización de los datos en el backend y su propagación entre todas réplicas que sirven el componente.	QD41 La precisión y completitud con la que los usuarios alcanza el objetivo especificado cuando utiliza un componente web puede evaluarse midiendo el tiempo total demora en la actualización de los datos en el backend y su propagación entre todas réplicas que sirven el componente.	QD42 La relación de recursos empleados por un componente web y la precisión y completitud con la que los usuarios alcanzan el objetivo especificado puede evaluarse midiendo el tiempo total demora en la actualización de los datos en el backend y su propagación entre todas réplicas que sirven el componente.	QD43 El grado de satisfacción de las necesidades del usuario cuando el componente web se utiliza en el contexto de uso especificado puede evaluarse midiendo el tiempo total demora en la actualización de los datos en el backend y su propagación entre todas réplicas que sirven el componente.	QD44 El grado en el que el componente web reduce un potencial riesgo de carácter económico, humano o del medio ambiente puede evaluarse midiendo el tiempo total demora en la actualización de los datos en el backend y su propagación entre todas réplicas que sirven el componente.	QD45 El grado al cual un componente web puede utilizarse con efectividad, eficiencia, satisfacción y ausencia de riesgo tanto en contexto de uso especificados, como más allá de las especificaciones iniciales puede evaluarse midiendo el tiempo total demora en la actualización de los datos en el backend y su propagación entre todas réplicas que sirven el componente.
E064    2	4	2	2	2	1	5	4	2	4	1	2	5	4	5	4	3	4	5	2	4	4	5	5	4	4	4	4	4	5	4	4	5	4	4	5	4	3	4	4	5	4	5	5	4
E024    2	3	1	3	2	1	5	4	5	4	4	4	3	4	5	4	4	4	2	3	1	4	4	5	4	4	4	3	5	5	4	5	5	5	4	5	4	4	4	4	5	4	5	5	4
E095    4	3	1	3	2	2	4	4	4	5	1	3	4	2	4	3	4	4	4	2	5	4	4	5	3	4	3	3	3	5	4	5	5	2	4	4	4	2	4	5	4	3	4	5	3
E185    2	4	1	1	2	3	4	1	4	4	1	1	4	2	4	1	3	4	1	1	3	2	5	3	4	4	5	3	5	5	4	4	3	1	4	5	4	2	5	4	4	3	4	5	3
E105    2	4	2	4	4	2	4	3	4	4	1	2	3	2	5	2	1	4	1	3	4	4	5	5	4	4	4	4	5	4	4	5	4	4	4	5	4	4	4	2	4	3	4	4	4
E034    2	4	2	3	2	1	4	4	2	2	2	2	1	2	5	4	1	4	2	2	5	5	5	5	5	4	5	4	4	5	4	5	5	5	5	5	5	5	5	4	5	4	5	5	4
E124    2	1	1	1	1	2	4	4	2	5	1	1	1	1	5	5	1	3	1	1	3	1	4	4	4	2	5	2	5	5	4	4	5	4	3	5	4	4	4	2	5	4	5	5	3
E114    4	4	1	4	4	1	5	5	5	5	2	5	5	5	5	4	4	4	1	4	4	2	4	4	5	2	4	4	4	4	4	4	4	4	3	4	5	4	5	3	5	3	5	5	5
E043    3	4	2	2	3	1	4	4	3	4	1	3	4	1	5	3	1	5	3	3	4	3	4	4	3	2	4	4	4	4	2	5	5	4	5	5	5	3	5	4	5	4	4	5	5
E164    3	4	3	3	2	2	5	4	4	4	3	3	3	2	5	4	2	5	2	2	2	4	4	5	5	4	5	4	5	4	3	4	5	5	4	5	5	4	5	2	5	4	5	5	3
E154    3	4	2	2	3	2	5	4	4	5	3	4	4	3	5	4	2	4	3	3	4	5	5	5	4	5	4	4	5	5	4	5	5	4	4	5	5	4	4	4	4	4	5	4	4
E144    4	4	1	1	1	2	4	3	2	5	3	4	2	3	5	5	2	4	1	1	2	4	4	5	5	3	4	3	5	4	4	4	5	4	3	5	4	3	4	4	4	5	5	4	3
E055    3	4	2	2	1	1	5	4	2	5	3	3	3	2	5	4	2	4	3	2	3	3	5	4	5	3	5	3	5	5	5	3	5	4	3	4	4	4	5	3	5	3	5	4	4
E014    3	4	1	1	3	1	5	4	4	5	2	4	4	2	5	4	1	2	1	2	2	2	4	4	5	4	5	4	5	4	3	2	5	4	2	5	4	4	4	3	4	4	5	4	4
E072    1	3	1	1	1	1	4	3	2	4	2	4	4	3	5	3	1	4	2	1	4	3	4	4	4	3	4	2	4	5	4	3	5	3	4	4	5	4	5	5	3	3	4	5	1
E194    2	4	1	1	2	2	5	2	1	3	2	2	2	1	5	2	3	5	2	2	5	2	4	4	3	1	3	2	4	2	3	4	5	4	4	5	4	4	5	3	5	3	5	4	4
E174    3	4	2	2	1	1	5	4	4	4	2	4	4	2	5	4	4	4	2	2	4	2	5	5	5	3	5	4	5	5	3	4	5	4	4	5	5	4	5	4	5	4	5	4	3
E084    4	4	3	4	3	2	4	4	3	5	3	4	4	2	5	4	3	5	3	3	5	4	4	4	4	4	3	4	5	5	4	4	5	4	4	5	4	3	4	4	4	4	4	4	3
E135    4	4	1	2	3	4	5	4	4	3	4	5	5	4	5	5	4	4	3	4	3	3	5	5	4	5	5	5	5	5	4	4	5	5	5	5	5	5	5	5	4	5	5	5	5
E205    3	4	2	3	2	1	4	4	3	4	4	4	3	3	5	4	2	4	3	2	4	3	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	3	4	4	4
